asv	P7	P8	P9	P10	P11	P13	P22	P23	P24	P25	P26	P27	P36	P37	P38	P39	P40	P41	P42	P50	P51	P52	P53	P54	taxonomy_prokaryotes
ASV_15123	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:[Parvarchaeota],c:[Parvarchaea],o:YLA114
ASV_08559	0	0	0	0	0	8	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:MCG,o:pGrfC26
ASV_07920	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Cenarchaeales,f:Cenarchaeaceae,g:Nitrosopumilus
ASV_09123	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Cenarchaeales,f:Cenarchaeaceae,g:Nitrosopumilus
ASV_10028	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Cenarchaeales,f:Cenarchaeaceae,g:Nitrosopumilus
ASV_05197	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Cenarchaeales,f:SAGMA-X
ASV_11584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Cenarchaeales,f:SAGMA-X
ASV_13205	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Nitrososphaerales,f:Nitrososphaeraceae,g:Candidatus_Nitrososphaera
ASV_06527	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Nitrososphaerales,f:Nitrososphaeraceae,g:Candidatus_Nitrososphaera,s:Candidatus_Nitrososphaera_SCA1145
ASV_12026	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Nitrososphaerales,f:Nitrososphaeraceae,g:Candidatus_Nitrososphaera,s:Candidatus_Nitrososphaera_SCA1170
ASV_12359	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Crenarchaeota,c:Thaumarchaeota,o:Nitrososphaerales,f:Nitrososphaeraceae,g:Candidatus_Nitrososphaera,s:Candidatus_Nitrososphaera_SCA1170
ASV_06705	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Euryarchaeota,c:Methanobacteria,o:Methanobacteriales,f:Methanobacteriaceae,g:Methanobacterium
ASV_12985	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Euryarchaeota,c:Methanobacteria,o:Methanobacteriales,f:Methanobacteriaceae,g:Methanobacterium
ASV_14849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Euryarchaeota,c:Methanomicrobia,o:Methanocellales,f:Methanocellaceae,g:Methanocella
ASV_10951	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Euryarchaeota,c:Methanomicrobia,o:Methanomicrobiales,f:Methanoregulaceae,g:Candidatus_Methanoregula
ASV_12919	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Euryarchaeota,c:Methanomicrobia,o:Methanomicrobiales,f:Methanoregulaceae,g:Candidatus_Methanoregula
ASV_13709	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Euryarchaeota,c:Methanomicrobia,o:Methanomicrobiales,f:Methanoregulaceae,g:Candidatus_Methanoregula
ASV_13909	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Archaea,p:Euryarchaeota,c:Methanomicrobia,o:Methanosarcinales,f:Methanosarcinaceae,g:Methanosarcina
ASV_00118	0	0	0	0	0	1219	0	0	0	0	0	0	3200	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_00205	0	0	0	0	0	1068	0	0	0	0	0	0	1979	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_00576	0	0	0	0	0	417	0	0	0	0	0	0	726	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_00821	0	0	0	0	0	113	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_00921	0	0	0	0	0	44	0	0	0	0	0	0	633	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_01024	0	0	0	0	0	211	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_01192	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_01459	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_01560	0	0	0	0	0	52	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_01703	0	0	0	0	0	58	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_01883	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_02414	0	0	0	0	0	46	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_02786	0	0	0	0	5	131	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_02935	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_03544	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_03657	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_03948	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_04195	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_04218	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_04304	0	0	0	0	7	33	0	0	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_04482	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_04823	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_04873	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_05144	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_05293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_05691	0	0	0	0	0	8	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
ASV_05725	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	k:Bacteria,p:[Thermi],c:Deinococci,o:Deinococcales,f:Deinococcaceae,g:CM44
