ID	sample	exp	media	season	concentration	AFDW	Chla	Chlb	Chlc
1	1_NC_1_T0	1	borgmann	w	0	0.326844726	2.981508387	0.798119408	0.347680937
2	1_NC_2_T0	1	borgmann	w	0	0.308963332	0.837912223	0.210855063	0.061855079
3	1_NC_3_T0	1	borgmann	w	0	0.60208239	2.326532665	0.674800373	0.164055245
4	1_NC_1_T14	1	borgmann	w	0	0.619737438	3.993777578	1.065944143	0.598401137
5	1_NC_2_T14	1	borgmann	w	0	0.659800815	1.707168222	0.829599646	0.628256644
6	1_NC_3_T14	1	borgmann	w	0	0.924852875	2.167099211	1.035493829	1.031154651
7	1_Cip1_1_T0	1	borgmann	w	1	0.500226347	1.270185512	0.336217989	0.154167264
8	1_Cip1_2_T0	1	borgmann	w	1	0.417383431	1.988180452	0.634675854	0.249271441
9	1_Cip1_3_T0	1	borgmann	w	1	0.774332277	2.348935699	0.706338726	0.240298197
10	1_Cip1_1_T14	1	borgmann	w	1	0.839520145	3.935738884	3.952858851	5.447139544
11	1_Cip1_2_T14	1	borgmann	w	1	0.675871435	4.668285756	5.396309894	7.821474759
12	1_Cip1_3_T14	1	borgmann	w	1	0.856948846	4.87469464	6.147299182	8.748012377
13	1_Cip2_1_T0	1	borgmann	w	10	0.579447714	1.823633198	0.717880806	0.492554929
14	1_Cip2_2_T0	1	borgmann	w	10	0.332956089	1.731843458	0.591996585	0.408838716
15	1_Cip2_3_T0	1	borgmann	w	10	0.452240833	2.38199472	0.684487232	0.237518732
16	1_Cip2_1_T14	1	borgmann	w	10	0.822091444	3.761752191	1.615818824	1.309685974
17	1_Cip2_2_T14	1	borgmann	w	10	0.579447714	2.41177106	0.67002504	0.344021707
18	1_Cip2_3_T14	1	borgmann	w	10	0.641919421	1.886080731	1.203243786	1.165619684
19	1_Cip3_1_T0	1	borgmann	w	100	0.544363966	1.813038961	0.466423206	0.076491901
20	1_Cip3_2_T0	1	borgmann	w	100	0.502716161	1.531577883	0.511715191	0.113810369
21	1_Cip3_3_T0	1	borgmann	w	100	0.528066999	3.682720608	0.910405379	0.280357063
22	1_Cip3_1_T14	1	borgmann	w	100	0.933227705	3.551875933	1.636922672	1.339053364
23	1_Cip3_2_T14	1	borgmann	w	100	NA	3.225600164	2.76790581	3.7375023
24	1_Cip3_3_T14	1	borgmann	w	100	0.780669986	3.588862188	3.925478616	5.459392191
