ID	exp	treatment	nominal_concentration_ug_L	measured_concentration_ug_L	more_info
1	1	negative_control	0	71.34	ciprofloxacin
2	1	negative_control	0	<LOQ	NA
3	1	ciprofloxacin	10	15.9	NA
4	1	ciprofloxacin	1000	1000	NA
5	1	negative_control	0	<LOQ	NA
6	1	ciprofloxacin	10	21.4	NA
7	1	ciprofloxacin	1000	1300	NA
8	1	negative_control	0	<LOQ	NA
9	1	ciprofloxacin	10	19.1	NA
10	1	ciprofloxacin	1000	1200	NA
11	1	ciprofloxacin	10	17.1	NA
12	1	ciprofloxacin	1000	1300	NA
13	2	negative_control	0	<LOQ	NA
14	2	ciprofloxacin	10	15.44	NA
15	2	ciprofloxacin	1000	972	NA
16	2	negative_control	0	<LOQ	NA
17	2	ciprofloxacin	10	13.14	NA
18	2	ciprofloxacin	1000	1024	NA
19	2	negative_control	0	<LOQ	NA
20	2	ciprofloxacin	10	14.67	NA
21	2	ciprofloxacin	1000	969	NA
22	3	negative_control	0	<LOQ	NA
23	3	propyzamide	10	<LOQ	NA
24	3	propyzamide	10000	2700	NA
25	3	negative_control	0	<LOQ	NA
26	3	propyzamide	10	3.55	NA
27	3	propyzamide	10000	2000	NA
28	3	negative_control	0	<LOQ	NA
29	3	propyzamide	10	3.71	NA
30	3	propyzamide	10000	3000	NA
31	3	propyzamide	10000	2500	NA
32	4	negative_control	0	<LOQ	NA
33	4	propyzamide	10	3.93	NA
34	4	propyzamide	10000	3300	NA
35	4	negative_control	0	<LOQ	NA
36	4	propyzamide	10	3.04	NA
37	4	propyzamide	10000	3400	NA
38	4	negative_control	0	<LOQ	NA
39	4	propyzamide	10	2.83	NA
40	4	propyzamide	10000	3000	NA
41	4	negative_control	0	<LOQ	NA
42	4	propyzamide	10	3.07	NA
43	4	propyzamide	10000	3000	NA
44	4	negative_control	0	<LOQ	NA
45	4	propyzamide	10	3.14	NA
46	4	propyzamide	10000	3000	NA
47	4	negative_control	0	<LOQ	NA
48	4	propyzamide	10	3.32	NA
49	4	propyzamide	10000	2950	NA
